Nr,Gebiet,Partei,Prozent,indikator,wert
1,Flensburg – Schleswig,FDP,11.1199793422381,Haushaltseinkommen.jeEinw,20265
2,Nordfriesland – Dithmarschen Nord,FDP,13.0711569799022,Haushaltseinkommen.jeEinw,22159
3,Steinburg – Dithmarschen Süd,FDP,13.2141356255969,Haushaltseinkommen.jeEinw,20896
4,Rendsburg-Eckernförde,FDP,12.2040340952722,Haushaltseinkommen.jeEinw,22093
5,Kiel,FDP,11.6399086387034,Haushaltseinkommen.jeEinw,18637
6,Plön – Neumünster,FDP,12.6277640712874,Haushaltseinkommen.jeEinw,20395
7,Pinneberg,FDP,13.2718434099543,Haushaltseinkommen.jeEinw,23766
8,Segeberg – Stormarn-Mitte,FDP,13.5679936645879,Haushaltseinkommen.jeEinw,22791
9,Ostholstein – Stormarn-Nord,FDP,13.2145432823643,Haushaltseinkommen.jeEinw,21962
10,Herzogtum Lauenburg – Stormarn-Süd,FDP,13.6281000776159,Haushaltseinkommen.jeEinw,23628
11,Lübeck,FDP,10.8639882901275,Haushaltseinkommen.jeEinw,19238
12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,FDP,6.3560085450287,Haushaltseinkommen.jeEinw,18008
13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,FDP,6.20779005981752,Haushaltseinkommen.jeEinw,18081
14,Rostock – Landkreis Rostock II,FDP,6.5629120303624,Haushaltseinkommen.jeEinw,16879
15,Vorpommern-Rügen – Vorpommern-Greifswald I,FDP,6.86334828655226,Haushaltseinkommen.jeEinw,17287
16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,FDP,5.59277035276183,Haushaltseinkommen.jeEinw,16955
17,Mecklenburgische Seenplatte II – Landkreis Rostock III,FDP,5.77426532001656,Haushaltseinkommen.jeEinw,17802
18,Hamburg-Mitte,FDP,9.27612710794998,Haushaltseinkommen.jeEinw,23596
19,Hamburg-Altona,FDP,11.2086079020651,Haushaltseinkommen.jeEinw,23596
20,Hamburg-Eimsbüttel,FDP,11.2742601891183,Haushaltseinkommen.jeEinw,23596
21,Hamburg-Nord,FDP,13.8188192984335,Haushaltseinkommen.jeEinw,23596
22,Hamburg-Wandsbek,FDP,10.2701628923321,Haushaltseinkommen.jeEinw,23596
23,Hamburg-Bergedorf – Harburg,FDP,8.6342229199372,Haushaltseinkommen.jeEinw,23596
24,Aurich – Emden,FDP,7.14635166658395,Haushaltseinkommen.jeEinw,18428
25,Unterems,FDP,7.79009219618983,Haushaltseinkommen.jeEinw,18302
26,Friesland – Wilhelmshaven – Wittmund,FDP,9.41817785369045,Haushaltseinkommen.jeEinw,18657
27,Oldenburg – Ammerland,FDP,10.3836993610736,Haushaltseinkommen.jeEinw,19758
28,Delmenhorst – Wesermarsch – Oldenburg-Land,FDP,10.115035126586,Haushaltseinkommen.jeEinw,20248
