Nr,Gebiet,Partei,Prozent,indikator,wert
1,Flensburg – Schleswig,Grüne,13.0812929880983,Mit_Migrationshintergrund.Prozent,10
2,Nordfriesland – Dithmarschen Nord,Grüne,10.9751946405939,Mit_Migrationshintergrund.Prozent,8
3,Steinburg – Dithmarschen Süd,Grüne,9.9025787965616,Mit_Migrationshintergrund.Prozent,9.2
4,Rendsburg-Eckernförde,Grüne,12.3742544858832,Mit_Migrationshintergrund.Prozent,8.5
5,Kiel,Grüne,17.249438980376,Mit_Migrationshintergrund.Prozent,18
6,Plön – Neumünster,Grüne,12.5273916974424,Mit_Migrationshintergrund.Prozent,10.8
7,Pinneberg,Grüne,11.448071598738,Mit_Migrationshintergrund.Prozent,15
8,Segeberg – Stormarn-Mitte,Grüne,10.9463000880497,Mit_Migrationshintergrund.Prozent,13.3
9,Ostholstein – Stormarn-Nord,Grüne,9.82640431840202,Mit_Migrationshintergrund.Prozent,8.4
10,Herzogtum Lauenburg – Stormarn-Süd,Grüne,10.8490344895844,Mit_Migrationshintergrund.Prozent,12.7
11,Lübeck,Grüne,12.7560571626671,Mit_Migrationshintergrund.Prozent,16.5
12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,Grüne,4.25063701644661,Mit_Migrationshintergrund.Prozent,4.7
13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,Grüne,3.80475232240814,Mit_Migrationshintergrund.Prozent,3.6
14,Rostock – Landkreis Rostock II,Grüne,6.30044483876135,Mit_Migrationshintergrund.Prozent,5.5
15,Vorpommern-Rügen – Vorpommern-Greifswald I,Grüne,5.07613000340479,Mit_Migrationshintergrund.Prozent,3.3
16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,Grüne,2.6277881491147,Mit_Migrationshintergrund.Prozent,3.3
17,Mecklenburgische Seenplatte II – Landkreis Rostock III,Grüne,3.22788941372994,Mit_Migrationshintergrund.Prozent,2.6
18,Hamburg-Mitte,Grüne,14.4160835149707,Mit_Migrationshintergrund.Prozent,28.3
19,Hamburg-Altona,Grüne,17.8926907276186,Mit_Migrationshintergrund.Prozent,28.3
20,Hamburg-Eimsbüttel,Grüne,17.0251577597154,Mit_Migrationshintergrund.Prozent,28.3
21,Hamburg-Nord,Grüne,14.384198688861,Mit_Migrationshintergrund.Prozent,28.3
22,Hamburg-Wandsbek,Grüne,10.3689032227909,Mit_Migrationshintergrund.Prozent,28.3
23,Hamburg-Bergedorf – Harburg,Grüne,10.0029840289581,Mit_Migrationshintergrund.Prozent,28.3
24,Aurich – Emden,Grüne,7.44627296383219,Mit_Migrationshintergrund.Prozent,8.8
25,Unterems,Grüne,5.8632889976165,Mit_Migrationshintergrund.Prozent,13.4
26,Friesland – Wilhelmshaven – Wittmund,Grüne,7.2573318312316,Mit_Migrationshintergrund.Prozent,9.9
27,Oldenburg – Ammerland,Grüne,12.4916985366524,Mit_Migrationshintergrund.Prozent,13.9
28,Delmenhorst – Wesermarsch – Oldenburg-Land,Grüne,8.01040173441221,Mit_Migrationshintergrund.Prozent,15.1
29,Cuxhaven – Stade II,Grüne,6.90113419938031,Mit_Migrationshintergrund.Prozent,11
30,Stade I – Rotenburg II,Grüne,8.21754298036785,Mit_Migrationshintergrund.Prozent,13.1
31,Mittelems,Grüne,6.03544207530183,Mit_Migrationshintergrund.Prozent,18.8
32,Cloppenburg – Vechta,Grüne,5.05048640466653,Mit_Migrationshintergrund.Prozent,23.5
33,Diepholz – Nienburg I,Grüne,8.14134294813034,Mit_Migrationshintergrund.Prozent,13.4
34,Osterholz – Verden,Grüne,9.25752684630081,Mit_Migrationshintergrund.Prozent,14.3
35,Rotenburg I – Heidekreis,Grüne,7.98353648381801,Mit_Migrationshintergrund.Prozent,12.8
36,Harburg,Grüne,10.2015442191249,Mit_Migrationshintergrund.Prozent,11.7
37,Lüchow-Dannenberg – Lüneburg,Grüne,13.4909874552227,Mit_Migrationshintergrund.Prozent,12.1
38,Osnabrück-Land,Grüne,8.22014488121871,Mit_Migrationshintergrund.Prozent,19.4
39,Stadt Osnabrück,Grüne,12.1405771956081,Mit_Migrationshintergrund.Prozent,22.6
