Nr,Gebiet,Partei,Prozent,indikator,wert
1,Flensburg – Schleswig,SPD,23.6953919106082,HartzIV.je1000Einw,88.5
2,Nordfriesland – Dithmarschen Nord,SPD,22.5384754662321,HartzIV.je1000Einw,70.9
3,Steinburg – Dithmarschen Süd,SPD,22.7369627507163,HartzIV.je1000Einw,80.1
4,Rendsburg-Eckernförde,SPD,22.8882432743748,HartzIV.je1000Einw,59.4
5,Kiel,SPD,23.863144506669,HartzIV.je1000Einw,138.7
6,Plön – Neumünster,SPD,23.7622017561334,HartzIV.je1000Einw,86.8
7,Pinneberg,SPD,22.9267271907797,HartzIV.je1000Einw,67.7
8,Segeberg – Stormarn-Mitte,SPD,22.4141254682526,HartzIV.je1000Einw,54.5
9,Ostholstein – Stormarn-Nord,SPD,24.5947855732737,HartzIV.je1000Einw,62.6
10,Herzogtum Lauenburg – Stormarn-Süd,SPD,22.3018060019482,HartzIV.je1000Einw,59.5
11,Lübeck,SPD,25.3665113054197,HartzIV.je1000Einw,127
12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,SPD,18.6266182791548,HartzIV.je1000Einw,97.9
13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,SPD,17.2485321277945,HartzIV.je1000Einw,79.6
14,Rostock – Landkreis Rostock II,SPD,15.7973211095092,HartzIV.je1000Einw,111.9
15,Vorpommern-Rügen – Vorpommern-Greifswald I,SPD,12.1748272216282,HartzIV.je1000Einw,106.6
16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,SPD,12.3127507154069,HartzIV.je1000Einw,117.3
17,Mecklenburgische Seenplatte II – Landkreis Rostock III,SPD,14.4556665286327,HartzIV.je1000Einw,106.2
18,Hamburg-Mitte,SPD,23.9560628656648,HartzIV.je1000Einw,106.9
19,Hamburg-Altona,SPD,20.4513496374314,HartzIV.je1000Einw,106.9
20,Hamburg-Eimsbüttel,SPD,22.236546109668,HartzIV.je1000Einw,106.9
21,Hamburg-Nord,SPD,21.5221839540481,HartzIV.je1000Einw,106.9
22,Hamburg-Wandsbek,SPD,26.6038000420669,HartzIV.je1000Einw,106.9
23,Hamburg-Bergedorf – Harburg,SPD,26.1731774718788,HartzIV.je1000Einw,106.9
24,Aurich – Emden,SPD,37.8212809404624,HartzIV.je1000Einw,86.7
25,Unterems,SPD,27.5473984441536,HartzIV.je1000Einw,55.5
26,Friesland – Wilhelmshaven – Wittmund,SPD,30.6893920122106,HartzIV.je1000Einw,91.3
27,Oldenburg – Ammerland,SPD,26.0528545583621,HartzIV.je1000Einw,86.2
28,Delmenhorst – Wesermarsch – Oldenburg-Land,SPD,28.2096695849969,HartzIV.je1000Einw,88.5
29,Cuxhaven – Stade II,SPD,27.661388896785,HartzIV.je1000Einw,70.9
30,Stade I – Rotenburg II,SPD,24.5622827900474,HartzIV.je1000Einw,65.4
31,Mittelems,SPD,23.4729654917882,HartzIV.je1000Einw,51.4
32,Cloppenburg – Vechta,SPD,17.7640768156339,HartzIV.je1000Einw,60.5
33,Diepholz – Nienburg I,SPD,25.4663108648564,HartzIV.je1000Einw,61.6
34,Osterholz – Verden,SPD,26.382502141116,HartzIV.je1000Einw,53.9
35,Rotenburg I – Heidekreis,SPD,27.1314940085807,HartzIV.je1000Einw,62.4
36,Harburg,SPD,21.9933108704572,HartzIV.je1000Einw,48.9
37,Lüchow-Dannenberg – Lüneburg,SPD,23.4525967260843,HartzIV.je1000Einw,74.3
38,Osnabrück-Land,SPD,25.6518323212954,HartzIV.je1000Einw,44.6
39,Stadt Osnabrück,SPD,24.7076275114896,HartzIV.je1000Einw,87
40,Nienburg II – Schaumburg,SPD,29.7344245636681,HartzIV.je1000Einw,71.2
41,Stadt Hannover I,SPD,27.4063062591976,HartzIV.je1000Einw,107.8
42,Stadt Hannover II,SPD,25.6357620365994,HartzIV.je1000Einw,107.8
43,Hannover-Land I,SPD,27.0441402329824,HartzIV.je1000Einw,107.8
44,Celle – Uelzen,SPD,25.4003652673036,HartzIV.je1000Einw,77
45,Gifhorn – Peine,SPD,30.1223077382018,HartzIV.je1000Einw,61.9
46,Hameln-Pyrmont – Holzminden,SPD,31.864406779661,HartzIV.je1000Einw,86.7
47,Hannover-Land II,SPD,29.498957275012,HartzIV.je1000Einw,107.8
48,Hildesheim,SPD,30.9438783089218,HartzIV.je1000Einw,79.6
49,Salzgitter – Wolfenbüttel,SPD,32.4166720184959,HartzIV.je1000Einw,94.6
50,Braunschweig,SPD,26.3401752326883,HartzIV.je1000Einw,76.9
51,Helmstedt – Wolfsburg,SPD,29.9536798764797,HartzIV.je1000Einw,65.8
52,Goslar – Northeim – Osterode,SPD,32.0661842404462,HartzIV.je1000Einw,76
53,Göttingen,SPD,28.2730027108914,HartzIV.je1000Einw,63.9
54,Bremen I,SPD,24.4334715700354,HartzIV.je1000Einw,145.4
55,Bremen II – Bremerhaven,SPD,29.7601250805755,HartzIV.je1000Einw,162.2
56,Prignitz – Ostprignitz-Ruppin – Havelland I,SPD,21.0154719275725,HartzIV.je1000Einw,102
57,Uckermark – Barnim I,SPD,16.9065675302056,HartzIV.je1000Einw,113.1
58,Oberhavel – Havelland II,SPD,18.5311371964746,HartzIV.je1000Einw,71.7
59,Märkisch-Oderland – Barnim II,SPD,15.4474647836926,HartzIV.je1000Einw,81.6
60,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,SPD,20.6535698996337,HartzIV.je1000Einw,81.3
61,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,SPD,18.4509839321177,HartzIV.je1000Einw,69.9
62,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,SPD,17.6161375804445,HartzIV.je1000Einw,68.6
63,Frankfurt (Oder) – Oder-Spree,SPD,16.4501003717742,HartzIV.je1000Einw,97.2
64,Cottbus – Spree-Neiße,SPD,15.1722334592046,HartzIV.je1000Einw,109
65,Elbe-Elster – Oberspreewald-Lausitz II,SPD,15.4345242026019,HartzIV.je1000Einw,102.2
66,Altmark,SPD,17.0356076603801,HartzIV.je1000Einw,108.1
67,Börde – Jerichower Land,SPD,16.2440490258973,HartzIV.je1000Einw,81.9
68,Harz,SPD,16.1909135872253,HartzIV.je1000Einw,91.5
69,Magdeburg,SPD,17.1108858050992,HartzIV.je1000Einw,133.8
