Nr,Gebiet,Partei,Prozent,indikator,wert
1,Flensburg – Schleswig,AfD,6.83525434869363,Ausländeranteil.Prozent,5.7
2,Nordfriesland – Dithmarschen Nord,AfD,6.53485424588086,Ausländeranteil.Prozent,5.4
3,Steinburg – Dithmarschen Süd,AfD,8.53944603629417,Ausländeranteil.Prozent,5
4,Rendsburg-Eckernförde,AfD,7.40906647554202,Ausländeranteil.Prozent,3.7
5,Kiel,AfD,6.91868711419496,Ausländeranteil.Prozent,9.4
6,Plön – Neumünster,AfD,8.55157301132446,Ausländeranteil.Prozent,5.9
7,Pinneberg,AfD,8.57263966690275,Ausländeranteil.Prozent,8.4
8,Segeberg – Stormarn-Mitte,AfD,8.94355960549555,Ausländeranteil.Prozent,5.8
9,Ostholstein – Stormarn-Nord,AfD,8.58143990442403,Ausländeranteil.Prozent,4.3
10,Herzogtum Lauenburg – Stormarn-Süd,AfD,9.78845763162144,Ausländeranteil.Prozent,6.6
11,Lübeck,AfD,8.89719194175879,Ausländeranteil.Prozent,8
12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,AfD,16.5315419658714,Ausländeranteil.Prozent,6
13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,AfD,17.7012983433029,Ausländeranteil.Prozent,3
14,Rostock – Landkreis Rostock II,AfD,15.5077446305127,Ausländeranteil.Prozent,3.8
15,Vorpommern-Rügen – Vorpommern-Greifswald I,AfD,19.6408838128916,Ausländeranteil.Prozent,3.4
16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,AfD,22.9944382359971,Ausländeranteil.Prozent,3.4
17,Mecklenburgische Seenplatte II – Landkreis Rostock III,AfD,19.2234536100564,Ausländeranteil.Prozent,2.3
18,Hamburg-Mitte,AfD,8.00160605712975,Ausländeranteil.Prozent,20.5
19,Hamburg-Altona,AfD,5.53778709090408,Ausländeranteil.Prozent,14.4
20,Hamburg-Eimsbüttel,AfD,5.87852340773877,Ausländeranteil.Prozent,11.7
21,Hamburg-Nord,AfD,6.15491282560047,Ausländeranteil.Prozent,9.6
22,Hamburg-Wandsbek,AfD,9.78055107621118,Ausländeranteil.Prozent,11.9
23,Hamburg-Bergedorf – Harburg,AfD,11.4262361015608,Ausländeranteil.Prozent,17.9
24,Aurich – Emden,AfD,9.12881017038082,Ausländeranteil.Prozent,5.3
25,Unterems,AfD,8.35653003949632,Ausländeranteil.Prozent,9.1
26,Friesland – Wilhelmshaven – Wittmund,AfD,9.0794781407857,Ausländeranteil.Prozent,4.6
27,Oldenburg – Ammerland,AfD,7.22742574484164,Ausländeranteil.Prozent,6.5
28,Delmenhorst – Wesermarsch – Oldenburg-Land,AfD,9.71045741567842,Ausländeranteil.Prozent,8.1
29,Cuxhaven – Stade II,AfD,8.99115949856448,Ausländeranteil.Prozent,5.2
30,Stade I – Rotenburg II,AfD,8.88887423420096,Ausländeranteil.Prozent,7
31,Mittelems,AfD,5.42367763257226,Ausländeranteil.Prozent,9.5
32,Cloppenburg – Vechta,AfD,8.08890037472542,Ausländeranteil.Prozent,9.1
33,Diepholz – Nienburg I,AfD,8.44214486022557,Ausländeranteil.Prozent,6.3
34,Osterholz – Verden,AfD,9.66532709664668,Ausländeranteil.Prozent,5.9
35,Rotenburg I – Heidekreis,AfD,9.25398701000024,Ausländeranteil.Prozent,7.1
36,Harburg,AfD,9.97650101331609,Ausländeranteil.Prozent,6.4
37,Lüchow-Dannenberg – Lüneburg,AfD,8.91621116328191,Ausländeranteil.Prozent,6.2
38,Osnabrück-Land,AfD,7.28334398636412,Ausländeranteil.Prozent,9
39,Stadt Osnabrück,AfD,6.28385627061176,Ausländeranteil.Prozent,8.8
40,Nienburg II – Schaumburg,AfD,10.2598080276836,Ausländeranteil.Prozent,6.4
41,Stadt Hannover I,AfD,9.13369239618427,Ausländeranteil.Prozent,15.7
42,Stadt Hannover II,AfD,7.59335539199136,Ausländeranteil.Prozent,16
43,Hannover-Land I,AfD,10.1820278669528,Ausländeranteil.Prozent,8.9
44,Celle – Uelzen,AfD,10.9014896445477,Ausländeranteil.Prozent,5.8
45,Gifhorn – Peine,AfD,10.911043493825,Ausländeranteil.Prozent,5.9
46,Hameln-Pyrmont – Holzminden,AfD,10.1348719798053,Ausländeranteil.Prozent,7.3
47,Hannover-Land II,AfD,10.3668253034597,Ausländeranteil.Prozent,8.3
48,Hildesheim,AfD,9.32588609287263,Ausländeranteil.Prozent,6.8
49,Salzgitter – Wolfenbüttel,AfD,12.2773103846895,Ausländeranteil.Prozent,8
50,Braunschweig,AfD,8.36995387176898,Ausländeranteil.Prozent,9.7
51,Helmstedt – Wolfsburg,AfD,10.9271377104625,Ausländeranteil.Prozent,9.5
52,Goslar – Northeim – Osterode,AfD,10.1075427027461,Ausländeranteil.Prozent,6.7
53,Göttingen,AfD,7.93954534984674,Ausländeranteil.Prozent,7.9
54,Bremen I,AfD,8.4534163829318,Ausländeranteil.Prozent,14.1
55,Bremen II – Bremerhaven,AfD,12.0719213309012,Ausländeranteil.Prozent,16.4
56,Prignitz – Ostprignitz-Ruppin – Havelland I,AfD,18.7360651307344,Ausländeranteil.Prozent,2.7
57,Uckermark – Barnim I,AfD,20.7811682378025,Ausländeranteil.Prozent,3.2
58,Oberhavel – Havelland II,AfD,18.6138483701517,Ausländeranteil.Prozent,2.9
59,Märkisch-Oderland – Barnim II,AfD,20.6956189840051,Ausländeranteil.Prozent,2.7
60,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,AfD,17.9414609396058,Ausländeranteil.Prozent,3.2
61,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,AfD,13.4799989683543,Ausländeranteil.Prozent,5.3
62,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,AfD,21.0372613703964,Ausländeranteil.Prozent,3.6
63,Frankfurt (Oder) – Oder-Spree,AfD,22.0854138433331,Ausländeranteil.Prozent,6
64,Cottbus – Spree-Neiße,AfD,26.8421174063848,Ausländeranteil.Prozent,3.8
65,Elbe-Elster – Oberspreewald-Lausitz II,AfD,25.2294789671796,Ausländeranteil.Prozent,2
66,Altmark,AfD,16.7652734289667,Ausländeranteil.Prozent,3.4
67,Börde – Jerichower Land,AfD,18.8722693047912,Ausländeranteil.Prozent,2.8
68,Harz,AfD,16.857909983749,Ausländeranteil.Prozent,3.5
69,Magdeburg,AfD,16.2052385721128,Ausländeranteil.Prozent,5.6
70,Dessau – Wittenberg,AfD,19.9809314023639,Ausländeranteil.Prozent,3.3
71,Anhalt,AfD,22.2281779573661,Ausländeranteil.Prozent,3
72,Halle,AfD,17.7878761668408,Ausländeranteil.Prozent,6.3
73,Burgenland – Saalekreis,AfD,24.5977136045945,Ausländeranteil.Prozent,3.9
74,Mansfeld,AfD,23.9126494449963,Ausländeranteil.Prozent,2.8
75,Berlin-Mitte,AfD,8.24454557622808,Ausländeranteil.Prozent,29.4
76,Berlin-Pankow,AfD,12.4945683953028,Ausländeranteil.Prozent,9.9
77,Berlin-Reinickendorf,AfD,13.7006811797232,Ausländeranteil.Prozent,14.1
78,Berlin-Spandau – Charlottenburg Nord,AfD,14.1353763259808,Ausländeranteil.Prozent,15.3
79,Berlin-Steglitz-Zehlendorf,AfD,8.88499695048596,Ausländeranteil.Prozent,9.7
80,Berlin-Charlottenburg-Wilmersdorf,AfD,7.91883481277421,Ausländeranteil.Prozent,18.2
81,Berlin-Tempelhof-Schöneberg,AfD,9.5601824709515,Ausländeranteil.Prozent,16.3
82,Berlin-Neukölln,AfD,11.1256302819402,Ausländeranteil.Prozent,22.7
83,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,AfD,6.32274208566108,Ausländeranteil.Prozent,19.6
84,Berlin-Treptow-Köpenick,AfD,16.9045365881921,Ausländeranteil.Prozent,5.6
85,Berlin-Marzahn-Hellersdorf,AfD,21.617831789898,Ausländeranteil.Prozent,6.6
86,Berlin-Lichtenberg,AfD,16.7358747447243,Ausländeranteil.Prozent,11.7
87,Aachen I,AfD,5.91555542837521,Ausländeranteil.Prozent,15.7
88,Aachen II,AfD,8.65263022942757,Ausländeranteil.Prozent,10.9
89,Heinsberg,AfD,8.73867031960878,Ausländeranteil.Prozent,10.8
90,Düren,AfD,9.61261789311025,Ausländeranteil.Prozent,9.7
91,Rhein-Erft-Kreis I,AfD,9.52764655385798,Ausländeranteil.Prozent,11.6
92,Euskirchen – Rhein-Erft-Kreis II,AfD,9.84108400152525,Ausländeranteil.Prozent,8.8
93,Köln I,AfD,8.859490301592,Ausländeranteil.Prozent,21.4
94,Köln II,AfD,5.05586620525883,Ausländeranteil.Prozent,13.3
95,Köln III,AfD,7.84561572467112,Ausländeranteil.Prozent,19.4
96,Bonn,AfD,7.32672272846485,Ausländeranteil.Prozent,14.6
97,Rhein-Sieg-Kreis I,AfD,9.97980837104444,Ausländeranteil.Prozent,9.7
98,Rhein-Sieg-Kreis II,AfD,8.79239551631141,Ausländeranteil.Prozent,8.9
99,Oberbergischer Kreis,AfD,10.5841982029632,Ausländeranteil.Prozent,8.7
100,Rheinisch-Bergischer Kreis,AfD,7.98741811075069,Ausländeranteil.Prozent,8.6
