Nr,Gebiet,Partei,Prozent,indikator,wert
1,Flensburg – Schleswig,AfD,6.83525434869363,HartzIV__Ausländer,18.8
2,Nordfriesland – Dithmarschen Nord,AfD,6.53485424588086,HartzIV__Ausländer,16.7
3,Steinburg – Dithmarschen Süd,AfD,8.53944603629417,HartzIV__Ausländer,21.1
4,Rendsburg-Eckernförde,AfD,7.40906647554202,HartzIV__Ausländer,23.8
5,Kiel,AfD,6.91868711419496,HartzIV__Ausländer,28.3
6,Plön – Neumünster,AfD,8.55157301132446,HartzIV__Ausländer,22.1
7,Pinneberg,AfD,8.57263966690275,HartzIV__Ausländer,34.6
8,Segeberg – Stormarn-Mitte,AfD,8.94355960549555,HartzIV__Ausländer,28.3
9,Ostholstein – Stormarn-Nord,AfD,8.58143990442403,HartzIV__Ausländer,20.2
10,Herzogtum Lauenburg – Stormarn-Süd,AfD,9.78845763162144,HartzIV__Ausländer,28.7
11,Lübeck,AfD,8.89719194175879,HartzIV__Ausländer,22.5
12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,AfD,16.5315419658714,HartzIV__Ausländer,16.3
13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,AfD,17.7012983433029,HartzIV__Ausländer,9.9
14,Rostock – Landkreis Rostock II,AfD,15.5077446305127,HartzIV__Ausländer,15.1
15,Vorpommern-Rügen – Vorpommern-Greifswald I,AfD,19.6408838128916,HartzIV__Ausländer,9.1
16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,AfD,22.9944382359971,HartzIV__Ausländer,8.1
17,Mecklenburgische Seenplatte II – Landkreis Rostock III,AfD,19.2234536100564,HartzIV__Ausländer,8.7
18,Hamburg-Mitte,AfD,8.00160605712975,HartzIV__Ausländer,35.6
19,Hamburg-Altona,AfD,5.53778709090408,HartzIV__Ausländer,35.6
20,Hamburg-Eimsbüttel,AfD,5.87852340773877,HartzIV__Ausländer,35.6
21,Hamburg-Nord,AfD,6.15491282560047,HartzIV__Ausländer,35.6
22,Hamburg-Wandsbek,AfD,9.78055107621118,HartzIV__Ausländer,35.6
23,Hamburg-Bergedorf – Harburg,AfD,11.4262361015608,HartzIV__Ausländer,35.6
24,Aurich – Emden,AfD,9.12881017038082,HartzIV__Ausländer,18.3
25,Unterems,AfD,8.35653003949632,HartzIV__Ausländer,22.6
26,Friesland – Wilhelmshaven – Wittmund,AfD,9.0794781407857,HartzIV__Ausländer,18.8
27,Oldenburg – Ammerland,AfD,7.22742574484164,HartzIV__Ausländer,28.1
28,Delmenhorst – Wesermarsch – Oldenburg-Land,AfD,9.71045741567842,HartzIV__Ausländer,30.7
29,Cuxhaven – Stade II,AfD,8.99115949856448,HartzIV__Ausländer,23.7
30,Stade I – Rotenburg II,AfD,8.88887423420096,HartzIV__Ausländer,23.3
31,Mittelems,AfD,5.42367763257226,HartzIV__Ausländer,29.2
32,Cloppenburg – Vechta,AfD,8.08890037472542,HartzIV__Ausländer,37.2
33,Diepholz – Nienburg I,AfD,8.44214486022557,HartzIV__Ausländer,28.1
34,Osterholz – Verden,AfD,9.66532709664668,HartzIV__Ausländer,27.9
35,Rotenburg I – Heidekreis,AfD,9.25398701000024,HartzIV__Ausländer,20.6
36,Harburg,AfD,9.97650101331609,HartzIV__Ausländer,27.6
37,Lüchow-Dannenberg – Lüneburg,AfD,8.91621116328191,HartzIV__Ausländer,21.1
38,Osnabrück-Land,AfD,7.28334398636412,HartzIV__Ausländer,24.8
39,Stadt Osnabrück,AfD,6.28385627061176,HartzIV__Ausländer,35.3
40,Nienburg II – Schaumburg,AfD,10.2598080276836,HartzIV__Ausländer,22.7
41,Stadt Hannover I,AfD,9.13369239618427,HartzIV__Ausländer,36.2
42,Stadt Hannover II,AfD,7.59335539199136,HartzIV__Ausländer,36.2
43,Hannover-Land I,AfD,10.1820278669528,HartzIV__Ausländer,36.2
44,Celle – Uelzen,AfD,10.9014896445477,HartzIV__Ausländer,21.3
45,Gifhorn – Peine,AfD,10.911043493825,HartzIV__Ausländer,23.4
46,Hameln-Pyrmont – Holzminden,AfD,10.1348719798053,HartzIV__Ausländer,26.2
47,Hannover-Land II,AfD,10.3668253034597,HartzIV__Ausländer,36.2
48,Hildesheim,AfD,9.32588609287263,HartzIV__Ausländer,25.9
49,Salzgitter – Wolfenbüttel,AfD,12.2773103846895,HartzIV__Ausländer,30
50,Braunschweig,AfD,8.36995387176898,HartzIV__Ausländer,22.7
51,Helmstedt – Wolfsburg,AfD,10.9271377104625,HartzIV__Ausländer,26.1
52,Goslar – Northeim – Osterode,AfD,10.1075427027461,HartzIV__Ausländer,20.9
53,Göttingen,AfD,7.93954534984674,HartzIV__Ausländer,21.1
54,Bremen I,AfD,8.4534163829318,HartzIV__Ausländer,39.2
