Nr,Gebiet,Partei,Prozent,indikator,wert
1,Flensburg – Schleswig,union,34.2185262564849,Einwohner.Dichte,132.9
2,Nordfriesland – Dithmarschen Nord,union,38.3364113706319,Einwohner.Dichte,83.6
3,Steinburg – Dithmarschen Süd,union,36.1925501432665,Einwohner.Dichte,110.4
4,Rendsburg-Eckernförde,union,36.2095886553869,Einwohner.Dichte,114.9
5,Kiel,union,26.6432714269542,Einwohner.Dichte,1873.8
6,Plön – Neumünster,union,33.5427616960633,Einwohner.Dichte,168.8
7,Pinneberg,union,34.2664134097397,Einwohner.Dichte,462.9
8,Segeberg – Stormarn-Mitte,union,34.5774915727556,Einwohner.Dichte,234.9
9,Ostholstein – Stormarn-Nord,union,35.6173464556031,Einwohner.Dichte,143
10,Herzogtum Lauenburg – Stormarn-Süd,union,34.3973829380479,Einwohner.Dichte,230.5
11,Lübeck,union,29.4765224760217,Einwohner.Dichte,579.2
12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,union,32.8687617429799,Einwohner.Dichte,74.7
13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,union,33.6583785869835,Einwohner.Dichte,63.4
14,Rostock – Landkreis Rostock II,union,30.4566682685791,Einwohner.Dichte,273.5
15,Vorpommern-Rügen – Vorpommern-Greifswald I,union,32.9213731475232,Einwohner.Dichte,84.3
16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,union,33.4545595483408,Einwohner.Dichte,55.2
17,Mecklenburgische Seenplatte II – Landkreis Rostock III,union,35.8247296054802,Einwohner.Dichte,40.9
18,Hamburg-Mitte,union,23.4874383388781,Einwohner.Dichte,2974.2
19,Hamburg-Altona,union,24.917284733519,Einwohner.Dichte,3302.5
20,Hamburg-Eimsbüttel,union,26.9329190865084,Einwohner.Dichte,5096.1
21,Hamburg-Nord,union,31.3771469479096,Einwohner.Dichte,2435.9
22,Hamburg-Wandsbek,union,28.8876814134474,Einwohner.Dichte,3987.9
23,Hamburg-Bergedorf – Harburg,union,27.4426871829469,Einwohner.Dichte,1044.9
24,Aurich – Emden,union,28.0344874040146,Einwohner.Dichte,171.8
25,Unterems,union,42.3959577715158,Einwohner.Dichte,122
26,Friesland – Wilhelmshaven – Wittmund,union,32.7702874586619,Einwohner.Dichte,168.5
27,Oldenburg – Ammerland,union,30.582590972588,Einwohner.Dichte,343.1
